lemma	tag	token	macron	source
τλάς	a-s---mn-	ʽτλὰς	ᾱ
τλὰς	a-s---mn-	ʽτλὰς	ᾱ
ἄτᾳ	p-p---na-	ἄ	αᾱ
ἀβλαβείᾳ	n-s---fd-	ἀβλαβεία	ααᾱ
ἀβουλιᾶν	n-s---fa-	ἀβουλιᾶ	αᾱ
ἀβουλίᾳ	n-s---fd-	ἀβουλία	αᾱ
ἀβουλίας	n-s---fg-	ἀβουλία	αᾱ
ἄγ	v2spma---	ἄγ	ᾱ
ἂγ	v2spma---	ἂγ	ᾱ
Ἀγαβάτας	n-s---mn-	Ἀγαβάτας	Αααᾱ
ἀγαθᾶι	a-p---fn-	ἀγαθᾶι	ααᾱ
ἀγαθᾶς	a-p---fa-	ἀγαθᾶς	ααᾱ
ἀγαθάς	a-p---fa-	ἀγαθός	ααᾱ
ἀγαθάς	a-p---fa-	ἀγαθός	ααᾱ
ἀγαθὰς	a-p---fa-	ἀγαθός	ααᾱ
ἀγαθᾶς	a-p---fa-	ἀγαθός	ααᾱ
Ἀγαμεμνονείας	a-s---fg-	Ἀγαμεμνονεῖος	Ααᾱ
Ἀγαμεμνονίαν	n-s---ma-	Ἀγαμεμνονία	Ααᾱ
Ἀγαμεμνονίδας	n-s---fg-	Ἀγαμεμνονίδη	Ααᾱ
ἀγγελίας	n-p---fa-	ἀγγελία	αᾱ
ἀγγελίας	n-s---fg-	ἀγγελία	αᾱ
ἀγγείλας	v-sapamn-	ἀγγέλλω	αᾱ
ἀγείρας	v-sapamn-	ἀγείρω	αᾱ
ἀγελαίας	a-p---fa-	ἀγελαῖος	αᾱ
ἀγέλας	n-p---fa-	ἀγέλη	αᾱ
Ἀγηνοριδᾶν	n-s---ma-	Ἀγηνοριδᾶς	Αᾱ
ἀγκάλας	n-p---fa-	ἀγκάλας	ααᾱ
ἀγκάλας	n-p---fa-	ἀγκάλη	ααᾱ
ἀγκύλας	n-p---fa-	ἀγκύλη	αᾱ
ἀγκύρας	n-p---fa-	ἄγκυρα	αᾱ
ἀγλαΐας	n-s---fg-	ἀγλαία	ααᾱ
ἀγλαάς	a-p---fa-	ἀγλαός	ααᾱ
ἀγλαὰς	a-p---fa-	ἀγλαός	ααᾱ
ἁγνᾷ	a-s---fn-	ἁγνᾷ	αᾱ
ἁγνίσας	v-sapamn-	ἁγνίζω	αᾱ
ἀγνοίᾳ	n-s---fd-	ἄγνοια	αᾱ
ἀγνοίας	n-s---fg-	ἄγνοια	αᾱ
ἁγνάς	a-p---fa-	ἁγνός	αᾱ
ἁγνὰς	a-p---fa-	ἁγνός	αᾱ
ἁγνᾶς	a-s---fg-	ἁγνός	αᾱ
ἀγορᾷ	n-s---fd-	ἀγορά	αᾱ
ἀγορᾶς	n-s---fg-	ἀγορά	αᾱ
ἄγρας	n-s---fg-	ἄγρα	αᾱ
ἄγρας	n-p---fa-	ἄγρα	αᾱ
ἀγρευτάν	n-s---ma-	ἀγρευτάν	αᾱ
ἀγρευτὰν	n-s---ma-	ἀγρευτὰν	αᾱ
ἀγρίας	a-p---fa-	ἄγριος	αᾱ
ἀγρίας	a-s---fg-	ἄγριος	αᾱ
ἀγροβάτας	a-s---mn-	ἀγροβάτας	ααᾱ
ἀγρωστᾶν	a-s---fa-	ἀγρωστᾶν	αᾱ
ἀγρώστας	a-p---fa-	ἀγρώστη	αᾱ
ἀγυιάς	n-p---fa-	ἀγυιά	αᾱ
ἀγυιάς	n-p---fa-	ἀγυιάς	αᾱ
ἀγυιᾶτ’	v2piia---	ἀγυιᾶτ	αᾱ
ἀγυιάς	n-p---fa-	ἀγυιός	αᾱ
ἀγυιὰς	n-p---fa-	ἀγυιός	αᾱ
ἀγχόνας	n-p---fa-	ἀγχόνη	αᾱ
ἀγωνίας	n-p---fa-	ἀγωνία	αᾱ
ἀδελφάν	n-s---ma-	ἀδελφάν	αᾱ
