ἄβατον	a-s---na-	ἄβατος	ἄβᾰτον
ἄβατον	a-s---fa-	ἄβατος	ἄβᾰτον
ἄβατος	a-s---mn-	ἄβατος	ἄβᾰτος
ἀγαθὸς	a-s---mn-	ἀγαθός	ᾰ̓γᾰθός
ἀγαθός	a-s---mn-	ἀγαθός	ᾰ̓γᾰθός
ἄγαλμα	n-s---nv-	ἄγαλμα	ᾰ̓́γᾰλμᾰ
ἄγαλμα	n-s---nn-	ἄγαλμα	ᾰ̓́γᾰλμᾰ
ἄγαλμα	n-s---na-	ἄγαλμα	ᾰ̓́γᾰλμᾰ
ἄγαμαι	v1spie---	ἄγαμαι	ἄγᾰμαι
ἄγκαθεν	d--------	ἄγκαθεν	ἄγκᾰθεν
ἀγκάλη	n-s---fd-	ἀγκάλη	ἀγκᾰ́λη
ἄγκυρα	n-s---fn-	ἄγκυρα	ἄγκῡρα
ἀγοραῖος	a-s---mn-	ἀγοραῖος	ᾰ̓γοραῖος
ἀγορεύω	v1spia---	ἀγορεύω	ᾰ̓γορεύω
ἄγρα	n-s---fn-	ἄγρα	ᾰ̓́γρᾱ
ἄγυρις	n-s---fn-	ἄγυρις	ᾰ̓́γῠρις
ἀγύρτης	n-s---mn-	ἀγύρτης	ἀγῠρτης
ἀγύρτρια	a-s---fn-	ἀγύρτριος	ἀγῠρτρια
ἄγχι	r--------	ἄγχι	ἄγχῐ
ἀγύρτης	a-s---fn-	ἀγύρτης	ἀγῠρτης
ἄγω	v1spsa---	ἄγω	ᾰ̓́γω
ἄγω	v1spia---	ἄγω	ᾰ̓́γω
ἀγών	n-s---mn-	ἀγών	ᾰ̓γών
ἀγών	v-sppamn-	ἀγών	ᾰ̓γών
ἀδαής	a-s---mn-	ἀδαής	ἀδᾰής
ἀδάκρυτος	a-s---fn-	ἀδάκρυτος	ἀδάκρῡτος
ἄδακρυς	a-s---mn-	ἄδακρυς	ἄδακρῠς
ἀδάματος	a-s---mn-	ἀδάματος	ἀδάμᾰτος
ἀδάματος	a-s---fn-	ἀδάματος	ἀδάμᾰτος
ἀδελφός	n-s---mn-	ἀδελφός	ᾰ̓δελφός
ἄδικος	a-s---fn-	ἄδικος	ἄδῐκος
ἄδικος	a-s---mn-	ἄδικος	ἄδῐκος
ἁδύπολις	a-s---mn-	ἁδύπολις	ἁδῠπολις
ἀδύνατος	a-s---fn-	ἀδύνατος	ᾰ̓δῠ́νᾰτος
ἄζυγος	n-s---fg-	ἄζυξ	ἄζῠγος
ἀθυμία	n-s---fn-	ἀθυμία	ἀθῡμία
