α	_1
α	^1
α-	_1
α-!],	_1
α-]	^1
α,	_1
α,	^1
α.	_1
α.	^1
α”	^1
αασαν	_1_2
αασε	^1_2
άαται	_2
αατη	^1^2
αβ	^1
αβ	_1
Ἄβαντες	^3
Ἄβας	_3
Ἄβδηρα	^1^6
Ἄβιλα	^5
αβρυνοῦμαι	^4
Ἄβυδος	_3
Ἄβυδου	_3
αβωρ	_1
αγ	^1
αγ	_1
αγαθέω	^1^3
αγαθία	^1^3
αγαθόν	^1^3
άγαθον	^3
αγαθός	^1^3
άγαθος	^3
αγαθότης	^1^3
αγαμαι	^1^3
αγαν	^1_3
αγαν	^1^3
αγαπάω	^1^3
Ἄγαρ	_1_3
Ἄγαρε	^3
Ἄγαρον	^3
Ἄγαρος	^3
Ἄγβαλε	^4
Ἄγβαλον	^4
Ἄγβαλος	^4
αγενεῖς	_1
αγενής	_1
αγερέτας	_1
αγέτας	_1
αγετέω	_1
αγέτης	_1
αγέτις	_1
αγέω	_1
αγή	^1
αγής	_1
αγής	^1
αγία	_1
αγία	^1
αγίδης	_1
Ἄγιδι	^1^3^5
Ἄγιδος	^1^3
αγίζω	^1
Ἆγιν	^3
αγινέω	^1_3
Ἅγιον	^3
Ἅγιον,	^3
Ἆγις	^3
αγιστία	^1
αγκος	^1
άγκυλον	^4
αγλα	_1^4
αγλαί̈ζω	^4
αγματίας	^4
αγματικὴ	^4
αγματικός	^4
αγματογραφία	^4^9
αγματογράφος	^4
αγμοσέμνακος	^9
αγν	^1
αγνοηθησοίμεθα	^14
αγνοηθησόμεθα	^13
άγνυμαι	^4
άγνυμι	_4
Ἅγνωνα	^6
Ἅγνωνι	^6
αγοραιολεκιθολαχανόπωλις	^1^11^15^17
αγόρευτος	^1
αγορεύω	^1
αγόρης	^1
αγορία	_1
αγορίς	^1
αγόρσιος	_1
αγος	^1
αγος	_1
αγός	_1
Ἄγρα	_4
Ἄγραν	_4
Ἄγρας	_4
αγριαίνω	^4
αγρόθεν	_1
αγρυπνος	_1^4
αγρυπνος	^1^4
Ἄγρωνα	^6
Ἄγρωνι	^6
αγυρτέω	^1
αγύρτης	^1
αγῶ	_1
αγωγεῖον	^1
αγωγεύς	^1
αγωγέω	^1
αγωγή	^1
αγώγητος	^1
αγωγία	^1
αγώγια	^1
αγώγιμος	^1
αγωγόν	^1
αγωγός	^1
αγωγὸς	^1
αγωνίζομαι	^1
αγώνιστος	^1
αδ	^1
Ἄδαμε	_1_3
Ἄδαμον	_1_3
Ἄδαμος	_1_3
αδάριον	^1
αδάριος	^1
αδε	^1
αδεία	^1
αδέλφεια	^1
αδελφεός	^1
αδελφία	^1
άδες	^1
αδῆ	^1
αδιαῖος	^1
αδικέω	^1^3
αδικητής	^1^3
αδικός	^1^3
αδικός	^1
άδικος	^3
αδις	^1
αδίς	^1
αδισμός	^1
αδιστί	^1
αδίως	^1
αδολεσχέω	_1
αδόν	^1
Ἄδουλι	^6
Ἄδουλιν	^6
Ἄδουλις	^6
αδοῦς	^1
Ἄδραστε	^1_4
Ἄδραστον	^1_4
Ἄδραστος	^1_4
αδυνατέω	^1^3^5
αδώδης	^1
Ἄδωνις	^5
αε	^1
αείδω	^1
αεῖον	_1
αείρω	^1
αείσομαι	^1
αέλιος	^1
αέξομαι	^1
αερ	^1
αετίς	_1
αζατα	_1_3
αζι	_1
αζω	_1
άζω	^1
αή&lt;&gt;ς	_1
αήρ	_1
αής	_1
αθ	_1
αθ	^1
αθα	_1^3
αθάνατος	^5
αθαρη	^1^3
αθε	_1
αθεῖν	^1
αθεν	_1
αθέω	^1
αθήνη	^1
αθήσομαι	_1
αθι	_1
Ἄθρυ	^1^4
Ἄθρυϊ	^1^4^5
Ἄθρυν	^1^4
Ἄθρυος	^4
Ἄθρυος	^1^4
Ἄθρυς	^4
Ἄθρυς	^1^4
αι	^1_2
αι	^2
αι	_1_2
αι	_1^2
αὶ	^1
αιαι	_2_4
αιαι	^2_4
αί̈γδην	_1
Αιγυπτον	^2
αιδ	_1^2
αιδης	_1^2
αιδος	_1^2
αιε	_1^2
αιε	^1_2
αιεῖ	^2
αιεις	_1^2
αιεν	^1^2
αϊκός	_1
αιματόω	^4
αίμεθα	^6
αῖμι	^4
αινα	^4
αιναν	^4
αιξ	^2
αιον	^1^2
αιοπραγέω	_6
αί̈ς	^1
αί̈ς	_1
αισθησις	^2
αισιμόομαι	^4
αί̈σσω	_1
αισχε'	^2
αισχυνῶ	^5
αί̈της	_1
αιτίατος	_5
αίχμας	_5
αιω	^1^2
αιων	_1^2
ακ	_1
ακ	^1
ακ-	_1
ακα	^1^3
ακα	_1
ακαδήμεια	^1^3
ακακ	^1^3
ακαματος	^1^3^5
ακανθίζω	^1
ακάς	^1
ακερός	^1
ακή	^1
ακὴ	^1
ακι	^1^3
Ἄκι	^3
Ἆκι	^3
άκι	^3
Ἄκιδι	_1^3^5
Ἄκιδι	^1^3^5
Ἄκιδος	_1^3
Ἄκιδος	^3
Ἄκιδος	^1^3
Ἆκιδος	^3
ακίζομαι	_1
Ἄκιν	^3
Ἆκιν	^3
ακινός	^1^3
Ἄκιρι	^3^5
Ἄκιριν	^3^5
Ἄκιρις	^3^5
ακὶς	^1
Ἄκις	^1^3
Ἄκις	^3
Ἆκις	^3
άκις	^1^3
ακοί̈α	_1
ακοιτιν	^1
ακολουθέω	^1
ακολούθητος	^1
ακόλουθος	^1
ακονάω	^1
ακόνη	^1
ακόνητος	^1
ακοντίζομαι	^1
ακοντίζω	^1
ακοντιστής	^1
ακοποιός	^1
ακος	_1
ακος	^1
ακός	_1
ακός	^1
ακουστέον	^1
ακουστής	^1
ακούω	^1
ακόω	^1
Ἄκρας	_4
ακριβής	_4
ακριβόω	_4
ακριδεύω	^4
Ἄκριλλαι	^4
ακρόατος	_5
Ἄκτορα	^6
Ἄκτορι	^6
ακώδης	^1
αλ	^1
αλ	_1
αλα	^1^3
αλα	^1
Ἄλα	_1_3
αλαζονεύομαι	^1
αλαζών	^1
Ἅλαισα	^6
Ἅλαισαν	^6
αλαλάζω	^1^3
Ἄλαν	_1_3
αλαος	^1^3
αλαπάζω	^1^3
Ἄλαπτα	^3^6
Ἄλας	_1_3
Ἄλβι	^1_4
Ἄλβι	^1^4
Ἄλβιδα	^6
Ἄλβιδι	^6
Ἄλβιδος	^4
Ἄλβιν	^1^4
Ἄλβιος	^1^4
Ἄλβιος	^4
Ἄλβις	^4
Ἄλβις	^1^4
αλέασθαι	^1
αλειπτέον	^1
αλειπτέω	^1
αλείπτης	^1
αλειπτική	^1
αλείφομαι	^1
αλείφω	^1
αλεκτρυών	^1^7
αλέξανδρος	^1
Ἄλεξις	^5
αλέος	^1
αλεόφρων	^1
αλεύς	^1
αλέω	^1
αλή	_1
αληθές	^1
αλήθης	^1
αληθῶς	^1
αλής	^1
αλι	^1
αλιεύς	^1
αλίζομαι	^1
Ἄλινδα	^3^6
αλίς	^1
Ἆλις	^3
αλίσκος	^1
αλίσκω	_1
αλίτωρ	^1
αλιφή	^1^3
αλιφής	^1^3
αλιώτης	^1
Ἄλκηστις	^7
Ἄλκωνα	^6
Ἄλκωνι	^6
αλλαγή	^4
Ἄλμωπας	^6
Ἄλμωψι	^6
Ἄλμωψιν	^6
αλοάω	^1
αλογέω	^1
αλοίας	^1
αλοιάω	^1
αλοιφέω	^1
αλοιφή	^1
αλοιφία	^1
αλοκίζω	^1
αλος	^1
αλός	^1
αλοῦμαι	^1
Ἄλπεσι	^1^6
Ἄλπεσιν	^1^6
Ἄλπι	^1_4
Ἄλπι	^1^4
Ἄλπιν	^1^4
Ἄλπιος	^4
Ἄλπιος	^1^4
Ἄλπις	^1^4
Ἄλπις	^4
Ἅλυ	^1_3
Ἅλυϊ	^1^3^4
Ἅλυν	^1_3
Ἅλυος	^1^3
Ἅλυος	^3
άλυπος	_3
Ἅλυς	^1_3
αλυσίδιον	^1^3
Ἄλυσις	^3
άλυσις	^3
αλύσκω	^1
αλυστής	^1
άλφιτος	^4
αλώσια	^1
αμ	^1
αμ	_1
αμα	_1
αμα	^1_3
αμα	^1^3
αμαι	_1
αμαι	^1
Ἄμανε	^1_3
Ἄμανον	^1_3
Ἄμανος	^1_3
αμαξεύω	^1
αμάξιον	^1
αμαριτεύω	_1^3_5
αμαρτάνω	^1
αμαρτήμων	^1
αμαρτητέον	^1
Ἄμασι	^1_3^5
Ἄμασιν	^1_3^5
Ἄμασις	^1_3^5
Ἄμαστρις	^7
αματικά	_1
αματικός	_1
αμάτιον	_1
αματίτης	_1^3
αμάω	^1
Ἄμβρυσε	^5
Ἄμβρυσον	^5
Ἄμβρυσος	^5
αμείβομαι	^1
αμείβω	^1
αμελγής	^1
αμέλγω	^1
αμελέω	^1
αμένη	^1
άμενον	^1
άμενος	^1
αμέρα	_1
αμέργω	^1
αμερία	_1
αμέριος	_1
αμερον	_1
Ἄμιλε	^3
αμιλλάομαι	^1
Ἄμιλον	^3
Ἄμιλος	^3
Ἄμμωνα	^1^6
Ἄμμωνι	^1^6
αμοιβός	^1
αμορβά	^1^6
αμορβαῖα	^1^8
αμορβαῖε	^1
αμορβαῖοι	^1
αμορβαίοιν	^1
αμορβαίοις	^1
αμορβαῖον	^1
αμορβαῖος	^1
αμορβαιότατος	^1^10
αμορβαιότερος	^1
αμορβαίου	^1
αμορβαίους	^1
αμορβαίω	^1
αμορβαίῳ	^1
αμορβαίων	^1
αμορβαίως	^1
αμορβέ	^1
αμορβοί	^1
αμορβοῖν	^1
αμορβοῖς	^1
αμορβόν	^1
αμορβός	^1
αμορβότατος	^1^8
αμορβότερος	^1
αμορβοῦ	^1
αμορβούς	^1
αμορβώ	^1
αμορβῷ	^1
αμορβῶν	^1
αμορβῶς	^1
αμος	^1
αμπέλινος	^6
αμπυκία	^4
αμπυκόω	^4
άμυνα	_3
αμύνω	^1
Ἄμυρε	^3
Ἄμυρον	^3
Ἄμυρος	^3
αμύσσω	^1
αμφανσις	^1
Ἄμφισσα	^7
Ἄμφισσαν	^7
Ἄμφρυσε	_5
Ἄμφρυσον	_5
Ἄμφρυσος	_5
αν	_1
αν	^1
άν	^1
ανα	^1^3
ανα	_1
ανα	^1_3
ανα	^1
αναγινώσκω	^1^3_5
ανάγκη	^1
Ἄναια	^5
αναισιμόω	^6
Ἄνακες	^3
αναλίσκομαι	^1_3
αναλίσκω	^1_3
αναλίσκω	_3
αναλώσω	_3
αναλωτής	^1_3
Ἄναπε	_3
Ἄναπον	_3
Ἄναπος	_3
Ἄνάπου	_3
ανάριος	^1
Ἄναρτοι	^3
ανάστασις	^6
αναστατικός	^6
