token	tag	lemma	macron	source
ἀφθέγκτῳ	p-s---nd-	ἀ		
ἄ	n-p---fa-	ἄ	_1	hypotactic
ἄκραν	d--------	ἄ	^1_4	wiktionary
ἄστρων	g--------	ἄ	^1	wiktionary
ἄτᾳ	p-p---na-	ἄ	_3	ifthimos
Ἀβαῖσι	n-p---fd-	ἀβαί	^6	breve_ultima
ἀβάκχευτον	a-s---ma-	ἀβάκχευστος		
ἀβακχεύτοισιν	a-p---md-	ἀβακχεύτοισιν	^12	breve_ultima
Ἀβαντίδα	a-s---ma-	Ἀβαντίδος		
ἄβατοι	a-p---fn-	ἄβατος	^1^3	wiktionary,manual
ἄβατον	a-s---na-	ἄβατος	^1^3	wiktionary,manual
ἄβατον	a-s---fa-	ἄβατος	^1^3	wiktionary,manual
ἄβατος	a-s---mn-	ἄβατος	^1^3	wiktionary,manual
ἀβάτων	n-p---mg-	ἄβατος	^1^3	wiktionary,manual
ἀβίοτος	a-s---mn-	ἀβίωτος	^1^3	manual
ἀβίοτος	n-s---mg-	ἀβίωτος	^1^3	manual
ἀβίωτον	a-s---ma-	ἀβίωτος	^1^3	manual
ἀβλαβεῖ	a-s---fd-	ἀβλαβεῖ	^1^4	hypotactic,manual
ἀβλαβείᾳ	n-s---fd-	ἀβλαβεία	_8	ifthimos
ἀβλαβεῖ	a-s---md-	ἀβλαβής	^4	hypotactic
ἀβλαβής	a-s---mn-	ἀβλαβής		
ἀβλαβὴς	a-s---mn-	ἀβλαβής		hypotactic,barytone
ἀβουκόλητον	a-s---nn-	ἀβουκόλητος		
ἀβουλιᾶν	n-s---fa-	ἀβουλιᾶ	^1^6_7	ifthimos
ἀβουλίᾳ	n-s---fd-	ἀβουλία	^1^6_7	ifthimos
ἀβουλίαν	n-s---fa-	ἀβουλία	^6_7	wiktionary
ἀβουλίας	n-s---fg-	ἀβουλία	^6_7	wiktionary
ἁβουλόμην	v1siie---	ἁβουλόμην		
ἄβουλον	a-s---fa-	ἄβουλος	^1	manual
ἄβουλον	a-s---ma-	ἄβουλος		
ἄβουλον	a-s---na-	ἄβουλος		
ἄβουλος	a-s---fn-	ἄβουλος		
ἄβουλος	a-s---mn-	ἄβουλος		
ἀβούλου	a-s---mg-	ἀβούλου		
ἀβούλως	d--------	ἀβούλως		
ἀβριθές	a-s---na-	ἀβριθής		
ἀβριθὲς	a-s---na-	ἀβριθής		barytone
ἁβροβάται	n-p---mn-	ἁβροβάτας		
ἁβρόγοοι	a-p---fn-	ἁβρόγοος		
ἁβροδιαίτων	a-p---mg-	ἁβροδιαίτων	^6	hypotactic
ἁβροκόμαν	a-s---fa-	ἁβροκόμας		
ἁβροπενθεῖς	v-sappmn-	ἁβροπενθεῖς		
ἁβροπήνων	a-p---ng-	ἁβροπήνων		
ἁβροπλούτοιο	a-s---fg-	ἁβροπλούτοιο		
ἁβρά	a-p---na-	ἁβρός	_1^4	wiktionary,manual
ἁβρά	a-s---fn-	ἁβρός	_1^4	wiktionary,manual
ἁβρὰ	a-p---na-	ἁβρός	_1^4	wiktionary,manual,barytone
ἁβρὰ	a-s---fn-	ἁβρός	_1^4	wiktionary,manual,barytone
ἁβρόν	a-s---na-	ἁβρός	_1	wiktionary,manual
ἁβρόν	a-s---ma-	ἁβρός	_1	wiktionary,manual
ἁβρὸν	a-s---ma-	ἁβρός	_1	wiktionary,manual,barytone
ἁβρὸν	a-s---na-	ἁβρός	_1	wiktionary,manual,barytone
ἁβρῶς	d--------	ἁβρός	_1	wiktionary,manual
ἁβροσύνηι	n-s---fd-	ἁβροσύνη	_1^6	manual
ἁβρότητ’	n-s---fa-	ἁβρότης	_1	manual
ἁβρότητι	n-s---fd-	ἁβρότης	_1^8	breve_ultima,manual
ἄβροτον	a-s---na-	ἄβροτον		
ἄβροχα	d--------	ἄβροχάς	^6	hypotactic
ἁβροχίτωνας	a-p---fa-	ἁβροχίτωνας	^10	breve_ultima
ἅβρυνε	v2spma---	ἅβρυνε		
ἁβρύνεται	v3spie---	ἁβρύνεται		
ἁβρύνεται	v3spie---	ἁβρύνω		
ἁβρύνομαι	v1spie---	ἁβρύνω		
ἀβρωσίαι	n-p---fn-	ἀβρωσία		
ἄβυσσον	a-s---fa-	ἄβυσσον		
ἄβυσσα	n-p---na-	ἄβυσσος	^6	wiktionary
ἄβυσσον	a-s---na-	ἄβυσσος		
ἄβυσσος	a-s---fn-	ἄβυσσος	^1^3	hypotactic
ἄγ	v2spma---	ἄγ	_1	ifthimos
ἄγ’	d--------	ἄγ	^1	wiktionary
ἄγ’	c--------	ἄγ	^1	wiktionary
Ἄγ’	d--------	Ἄγ		
ἂγ	v2spma---	ἂγ	_1	ifthimos,barytone
ἄγα	d--------	ἄγα	_3	wiktionary
Ἀγαβάτανα	n-p---na-	Ἀγαβάτανα	^9	breve_ultima
Ἀγαβάτας	n-s---mn-	Ἀγαβάτας		
ἄγαγ’	v3saia---	ἄγω		
ἄγαγες	v2saia---	ἄγαγες	^1^3	wiktionary
ἀγάγετ’	v3saim---	ἄγω		
ἀγάγετ’	v2pama---	ἄγω		
ἀγάζειν	v--pna---	ἀγάζω		
ἀγάθ’	d--------	ἀγάθ		
ἀγάθ’	a-p---na-	ἀγάθ		
ἀγαθᾶι	a-p---fn-	ἀγαθᾶι	_5	ifthimos
ἀγαθᾶς	a-p---fa-	ἀγαθᾶς	^1^3_5	ifthimos
ἀγαθῆς	a-s---fg-	ἀγαθῆς	^1^3	wiktionary
ἀγαθοῖσι	a-p---nd-	ἀγαθοῖσί	^1^3^8	hypotactic
ἀγαθά	a-p---na-	ἀγαθός	^1^3_5	wiktionary
Ἀγαθά	a-p---na-	ἀγαθός		
ἀγαθὰ	a-p---na-	ἀγαθός	^1^3_5	hypotactic,barytone
Ἀγαθὰ	a-p---na-	ἀγαθός		barytone
ἀγαθάν	a-s---fa-	ἀγαθός		
ἀγαθὰν	a-s---fa-	ἀγαθός		hypotactic,barytone
ἀγαθάς	a-p---fa-	ἀγαθός	^1^3_5	wiktionary
ἀγαθὰς	a-p---fa-	ἀγαθός	^1^3_5	ifthimos,barytone
ἀγαθᾶς	a-p---fa-	ἀγαθός	^1^3_5	ifthimos
ἀγαθή	a-s---fn-	ἀγαθός	^1^3	wiktionary
ἀγαθὴ	a-s---fn-	ἀγαθός	^1^3	hypotactic,barytone
ἀγαθῆς	a-s---fg-	ἀγαθός	^1^3	wiktionary
ἀγαθοῖν	a-d---mg-	ἀγαθός	^1^3	wiktionary
ἀγαθοῖς	a-p---md-	ἀγαθός	^1^3	wiktionary
ἀγαθοῖς	a-p---nd-	ἀγαθός	^1^3	wiktionary
ἀγαθοῖσι	a-p---md-	ἀγαθός	^1^3^8	hypotactic
ἀγαθοῖσι	a-p---nd-	ἀγαθός	^1^3^8	hypotactic
ἀγαθόν	a-s---na-	ἀγαθός	^1^3	wiktionary
ἀγαθόν	a-s---ma-	ἀγαθός	^1^3	wiktionary
