Πολυξείνης	n-s---fg-	ʽΠολυξείνη	_4
ἄ	g--------	ἄ	_1
ἄ	d--------	ἄ	_1
ἄ	p-p---na-	ἄ	_1
ἄ	n-p---fa-	ἄ	_1
ἄ	a-s---nn-	ἄ	_1
ἀβλαβεῖ	a-s---fd-	ἀβλαβεῖ	^4
ἀβλαβεῖ	a-s---md-	ἀβλαβής	^4
ἀβλαβὴς	a-s---mn-	ἀβλαβής	^4
ἀβουλιᾶν	n-s---fa-	ἀβουλιᾶ	^1^6
ἀβουλίᾳ	n-s---fd-	ἀβουλία	^1^6
ἁβροδιαίτων	a-p---mg-	ἁβροδιαίτων	^6
ἄβροχα	d--------	ἄβροχάς	^6
ἄβυσσος	a-s---fn-	ἄβυσσος	^1
ἄγαγες	v2saia---	ἄγαγες	_1^3
ἀγαθᾶς	a-p---fa-	ἀγαθᾶς	^1^3
ἀγαθῆς	a-s---fg-	ἀγαθῆς	^1^3
ἀγαθοῖσι	a-p---nd-	ἀγαθοῖσί	^1^3^8
ἀγαθὰ	a-p---na-	ἀγαθός	^1^3_5
ἀγαθὰν	a-s---fa-	ἀγαθός	^1^3
ἀγαθὰς	a-p---fa-	ἀγαθός	^1^3
ἀγαθᾶς	a-p---fa-	ἀγαθός	^1^3
ἀγαθὴ	a-s---fn-	ἀγαθός	^1^3
ἀγαθῆς	a-s---fg-	ἀγαθός	^1^3
ἀγαθοῖς	a-p---md-	ἀγαθός	^1^3
ἀγαθοῖς	a-p---nd-	ἀγαθός	^1^3
ἀγαθοῖσι	a-p---nd-	ἀγαθός	^1^3^8
ἀγαθοῖσι	a-p---md-	ἀγαθός	^1^3^8
ἀγαθόν	a-s---na-	ἀγαθός	^1^3
ἀγαθὸν	a-s---na-	ἀγαθός	^1^3
ἀγαθὸν	a-s---ma-	ἀγαθός	^1^3
ἀγαθός	a-s---mn-	ἀγαθός	^1^3
ἀγαθοῦ	a-s---mg-	ἀγαθός	^1^3
ἀγαθῷ	a-s---md-	ἀγαθός	^1^3
ἀγαθῶν	a-p---mg-	ἀγαθός	^1^3
ἀμείνονας	a-p---mac	ἀγαθός	^1
ἀμείνους	a-p---mnc	ἀγαθός	^1
ἀμείνω	a-s---fac	ἀγαθός	^1
ἀμείνω	a-p---nac	ἀγαθός	^1
ἄριστα	a-p---na-	ἀγαθός	^1^6
ἄριστα	a-p---nas	ἀγαθός	^1^6
ἀρίστους	a-p---mas	ἀγαθός	^1
ἀγαῖσι	n-p---fd-	ἀγαῖσι	^1^6
ἀγαῖσι	a-p---fd-	ἀγαῖσι	^1^6
ἀγακλειτὸν	a-s---ma-	ἀγακλειτός	^1
ἀγάλλει	v3spia---	ἀγάλλω	^1
ἀγαλλόμεναι	v-pppefn-	ἀγάλλω	^1
ἄγαλμ’	u--------	ἄγαλμ’	^1
ἀγάλματα	n-p---na-	ἄγαλμα	^1^6^8
ἄγαμαι	v1spie---	ἄγαμαι	^1^3
Ἀγάμεμνον	n-s---mv-	Ἀγάμεμνον	^1^3
Ἀγάμεμνον	n-s---mv-	ἀγαμέμνων	^1^3
Ἀγάμεμνον	n-s---ma-	ἀγαμέμνων	^1^3
Ἀγαμέμνονα	n-s---ma-	ἀγαμέμνων	^1^3^10
Ἀγαμέμνονι	n-s---md-	ἀγαμέμνων	^1^3^10
Ἀγαμέμνονος	n-s---mg-	ἀγαμέμνων	^1^3
Ἀγαμέμνων	n-s---mn-	ἀγαμέμνων	^1^3
Ἀγαμέμνων	n-s---mn-	Ἀγαμέμνων	^1^3
ἄγαν	d--------	ἄγαν	^1
ἄγαγες	v2saia---	ἄγαξ	_1^3
Ἀγαυὴ	a-s---fn-	ἀγαυή	^1
Ἀγαυὴν	a-s---fa-	ἀγαυός	^1
ἀγαυοῖς	a-p---md-	ἀγαυός	^1
Ἀγβατάνων	n-p---mg-	Ἀγβάτανα	^4^6
ἀγγελίαν	n-s---fa-	ἀγγελία	^6
ἀγγελίας	n-s---fg-	ἀγγελία	^6
ἀγγελίας	n-p---fa-	ἀγγελία	^6
ἀγγέλλουσα	v-sppafn-	ἀγγέλλω	^10
ἀγγέλλουσι	v3ppia---	ἀγγέλλω	^10
ἄγετε	v2ppma---	ἄγε	^1
ἄγει	v3spia---	ἄγει	^1
ἄγειν	v--pna---	ἄγειν	^1
ἀγείρας	v-sapamn-	ἀγείρω	^1
ἄγεις	v2spia---	ἄγεις	^1
ἀγείτονος	a-s---mg-	ἀγείτων	^1
ἀγέλαι	n-p---fn-	ἀγέλα	^1
ἀγέλαις	n-p---fd-	ἀγέλα	^1
ἀγέλαν	n-s---fa-	ἀγέλα	^1
ἀγέλαις	a-p---fd-	ἀγέλη	^1
ἀγέλας	n-p---fa-	ἀγέλη	^1
ἁγεμὼν	v-sppamn-	ἁγεμὼ	_1
ἁγεμόνες	n-p---mn-	ἁγεμών	_1
ἀγέραστον	a-s---ma-	ἀγέραστος	^1
ἀγέραστον	a-s---na-	ἀγέραστος	^1
ἄγετε	v2ppma---	ἄγετέ	^1
ἄγῃ	v3spsa---	ἄγῃ	^1
Ἀγήνορος	n-s---mg-	Ἀγήνορος	^1
ἀγήνορες	a-p---mn-	ἀγήνωρ	^1
Ἀγήνορος	n-s---mg-	ἀγήνωρ	^1
ἀγήρων	a-p---mg-	ἀγήραος	^1
ἀγήρως	a-s---mn-	ἀγήρως	^1
ἄγκυραν	n-s---fa-	ἄγκυρα	_4
ἀγκύρας	n-p---fa-	ἄγκυρα	_4
ἀγλαΐαι	n-p---fd-	ἀγλαία	^4^5
ἀγλαΐας	n-s---fg-	ἀγλαία	^4^5
ἀγλαΐαις	n-p---fd-	ἀγλαΐη	^4^5
ἁγνὰ	a-p---na-	ἁγνός	^4
ἀγνῶτα	a-s---fa-	ἀγνῶτα	^6
ἄγοιντο	v3ppoe---	ἄγοιντο	^1
ἄγονον	a-s---nv-	ἄγονος	^1
ἄγονον	a-s---ma-	ἄγονος	^1
ἄγοος	a-s---mn-	ἄγοος	^1
ἀγορᾷ	n-s---fd-	ἀγορά	^1
ἀγοραὶ	n-p---fn-	ἀγορά	^1
ἀγορᾶς	n-s---fg-	ἀγορά	^1
ἀγορεύω	v1spia---	ἀγορεύω	^1
ἀγρίας	u--------	ἀγρίας	^4
ἄγρια	a-p---na-	ἄγριος	^4^5
ἀγρίαις	a-p---fd-	ἄγριος	^4
ἀγρίαν	a-s---fa-	ἄγριος	^4
ἀγρίας	a-p---fa-	ἄγριος	^4
ἀγρίας	a-s---fg-	ἄγριος	^4
ἄγριον	a-s---na-	ἄγριος	^4
ἄγριον	a-s---ma-	ἄγριος	^4
ἄγριος	a-s---mn-	ἄγριος	^4
ἀγρίων	a-p---mg-	ἄγριος	^4
ἀγρίων	a-p---ng-	ἄγριος	^4
ἀγρίους	a-p---ma-	ἀγρίους	^4
ἀγρίως	d--------	ἀγρίως	^4
ἀγυιαῖς	n-p---fd-	ἀγυιαῖς	^1
ἀγχιάλου	a-s---fg-	ἀγχίαλος	^4^5
ἀγχιάλους	n-p---fa-	ἀγχιάλους	^4^5
ἀγχιάλων	a-p---ng-	ἀγχιάλων	^4^5
ἄγχιστα	a-p---na-	ἄγχιστος	^7
ἄγαγε	v3saia---	ἄγω	_1^3
ἀγαγεῖν	v--ana---	ἄγω	^1^3
ἄγαγεν	v3saia---	ἄγω	^1^3
ἀγαγὼν	v-sapamn-	ἄγω	^1^3
ἄγει	v3spia---	ἄγω	^1
ἄγειν	v--pna---	ἄγω	^1
ἄγεις	v2spia---	ἄγω	^1
ἄγεται	v3spie---	ἄγω	^1
ἄγετε	v2ppma---	ἄγω	^1
ἄγοι	v3spoa---	ἄγω	^1
ἄγον	v-sppama-	ἄγω	^1
ἄγουσα	v-sppafn-	ἄγω	^1_6
ἄγουσα	v-sppafn-	ἄγω	^1_6
ἄγουσαν	v-sppafa-	ἄγω	^1
ἄγω	v1spia---	ἄγω	^1
ἄγω	v1spsa---	ἄγω	^1
ἄγων	v-sppamn-	ἄγω	^1
ἄξειν	v--fna---	ἄγω	_1
ἄξεις	v2sfia---	ἄγω	_1
ἄξεσθαι	v--anm---	ἄγω	_1
ἄξομεν	v1pasa---	ἄγω	_1
ἄξομεν	v1pfia---	ἄγω	_1
ἄξων	v-sapamn-	ἄγω	_1
ἄξων	v-sfpamn-	ἄγω	_1
ἤγαγεν	v3saia---	ἄγω	^3
ἤγαγον	v3paia---	ἄγω	^3
ἤγαγον	v1saia---	ἄγω	^3
ἀγών	v-sppamn-	ἀγών	^1
ἀγών	n-s---mn-	ἀγών	^1
ἀγὼν	v-sppamn-	ἀγών	^1
ἀγὼν	n-s---mn-	ἀγών	^1
ἀγώνων	n-p---mg-	ἀγών	^1
ἄγων	v-sppamn-	ἄγων	^1
ἀγωνίας	n-p---fa-	ἀγωνία	^1^5
ἀγώνων	u--------	ἀγώνων	^1
ἄγωσι	v3ppsa---	ἄγωσί	^1_5
ἄδακρυν	a-s---fa-	ἄδακρυς	^1
ἀδάκρυτος	a-s---fn-	ἀδάκρυτος	^1_6
ἀδαμαντίνου	a-s---ng-	ἀδαμαντίνου	^1^3^8
ἀδαμαντίνων	a-p---mg-	ἀδαμαντίνων	^1^3^8
ἀδαμαντοδέτοισι	a-p---fd-	ἀδαμαντοδέτοισι	^1^3^15
ἀδελφαὶ	n-p---fn-	ἀδελφή	^1
ἀδελφῆς	n-s---fg-	ἀδελφή	^1
ἀδελφοῖν	u--------	ἀδελφοῖν	^1
ἀδελφαῖς	a-p---fd-	ἀδελφός	^1
ἀδελφεόν	n-s---ma-	ἀδελφός	^1
ἀδελφοῖν	n-d---mg-	ἀδελφός	^1
ἀδελφὸν	n-s---ma-	ἀδελφός	^1
ἀδελφὸς	n-s---mn-	ἀδελφός	^1
ἄδηλον	a-s---nn-	ἄδηλος	^1
ἄδηλον	a-s---na-	ἄδηλος	^1
ἄδηλον	a-s---fa-	ἄδηλος	^1
ἄδην	d--------	ἄδην	^1
ἅδην	d--------	ἅδην	^1
ἅδην	n-s---ma-	ἅδην	^1
ἀδήριτον	a-s---nn-	ἀδήριτος	^1^5
ἀδηφάγον	a-s---fa-	ἀδηφάγος	^1^5
ἀδικεῖ	v3spia---	ἀδικέω	^1^3
ἀδικῶν	v-sppamn-	ἀδικέω	^1^3
ἀδίκοις	a-p---md-	ἀδίκος	^1^3
ἄδικον	a-s---nn-	ἄδικος	^1^3
ἄδικον	a-s---na-	ἄδικος	^1^3
ἄδικον	a-s---ma-	ἄδικος	^1^3
ἄδικον	a-s---na-	ἄδικος	^1^3
ἄδικος	a-s---mn-	ἄδικος	^1^3
ἄδικος	a-s---fn-	ἄδικος	^1^3
ἄδικος	a-s---mn-	ἄδικος	^1^3
ἀδίκους	a-p---fa-	ἄδικος	^1^3
ἀδίκους	a-p---ma-	ἄδικος	^1^3
ἀδίκων	a-p---mg-	ἄδικος	^1^3
ἀδίκων	v-sppamn-	ἄδικος	^1^3
ἀδίκων	a-p---ng-	ἄδικος	^1^3
ἀδίκως	d--------	ἄδικος	^1^3
ἀδίκου	a-s---mg-	ἀδίκου	^1^3
ἀδινῶν	a-p---mg-	ἀδινής	^1^3
ἀδόλως	d--------	ἀδόλος	^1
ἀδύνατον	a-s---na-	ἀδύνατος	^1^3^5
ἀεὶ	d--------	ἀεί	^1
ἀεικεῖς	a-p---ma-	ἀεικής	^1
ἄειρον	v3piia---	ἄειρον	^1
ἄειρε	v2spma---	ἀείρω	^1
ἀείρει	v3spia---	ἀείρω	^1
ἀείρων	v-sppamn-	ἀείρω	^1
ἀέκων	a-s---mn-	ἀέκων	^1
ἄκοντα	a-s---ma-	ἀέκων	^1^6
ἄκοντος	a-s---mg-	ἀέκων	_1
ἀέλιον	a-s---na-	ἀέλιον	_1^4
ἀέλιον	a-s---fa-	ἀέλιος	_1^4
ἀέλιον	a-s---ma-	ἀέλιος	_1^4
ἀελλόποδες	n-p---mn-	ἀελλόπος	^1
ἀέναον	a-s---fa-	ἀέναος	_1^4
ἀέναον	v-sppann-	ἀέναω	_1^4
ἀεξόμενον	v-sppenn-	ἀεξόμενον	^1
ἀέξει	v3spia---	ἀέξω	^1
ἅζεται	v3spie---	ἅζομαι	_1
ἅζεται	v3spie---	ἅζομαι	_1
ἅζομαι	v1spie---	ἅζομαι	_1
ἁζόμενος	v-sppemn-	ἅζομαι	_1
ἄζυγα	a-p---na-	ἄζυγος	_1^3^5
ἀηδόνος	n-s---fg-	ἀηδόνος	^1
ἀηδὼν	v-sppamn-	ἀηδὼ	^1
ἀηδόνα	n-s---fa-	ἀηδών	^1^6
ἀηδόνος	n-s---fg-	ἀηδών	^1
ἄηται	v3spie---	ἄημαι	^1
ἀέρι	n-s---nd-	ἀήρ	_1^4
ἀέρι	n-s---md-	ἀήρ	_1^4
ἀήρ	n-s---mn-	ἀήρ	_1
ἄησιν	n-s---fa-	ἄησις	^1
ἀήσυροι	n-p---mn-	ἀήσυρος	^1^4
Ἀθαμαντίδος	n-s---fg-	Ἀθαμαντίς	^1^3^8
