lemma	tag	token	macron	source
ἄβατον	a-s---na-	ἄβατος	^3	
ἄβατον	a-s---fa-	ἄβατος	^3	
ἄβατος	a-s---mn-	ἄβατος	^3	
ἀγαθὸς	a-s---mn-	ἀγαθός	^1^3	
ἀγαθός	a-s---mn-	ἀγαθός	^1^3	
ἄγαλμα	n-s---nv-	ἄγαλμα	^1^3^6	
ἄγαλμα	n-s---nn-	ἄγαλμα	^1^3^6	
ἄγαλμα	n-s---na-	ἄγαλμα	^1^3^6	
ἄγαμαι	v1spie---	ἄγαμαι	^3	
ἄγκαθεν	d--------	ἄγκαθεν	^4	
ἀγκάλη	n-s---fd-	ἀγκάλη	^4	
ἄγκυρα	n-s---fn-	ἄγκυρα	_4	
ἀγοραῖος	a-s---mn-	ἀγοραῖος	^1	
ἀγορεύω	v1spia---	ἀγορεύω	^1	
ἄγρα	n-s---fn-	ἄγρα	^1_4	
ἄγυρις	n-s---fn-	ἄγυρις	^1^3	
ἀγύρτης	n-s---mn-	ἀγύρτης	^3	
ἀγύρτρια	a-s---fn-	ἀγύρτριος	^3	
ἄγχι	r--------	ἄγχι	^4	
ἀγύρτης	a-s---fn-	ἀγύρτης	^3	
ἄγω	v1spsa---	ἄγω	^1	
ἄγω	v1spia---	ἄγω	^1	
ἀγών	n-s---mn-	ἀγών	^1	
ἀγών	v-sppamn-	ἀγών	^1	
ἀδαής	a-s---mn-	ἀδαής	^3	
ἀδάκρυτος	a-s---fn-	ἀδάκρυτος	_6	
ἄδακρυς	a-s---mn-	ἄδακρυς	^6	
ἀδάματος	a-s---mn-	ἀδάματος	^5	
ἀδάματος	a-s---fn-	ἀδάματος	^5	
ἀδελφός	n-s---mn-	ἀδελφός	^1	
ἄδικος	a-s---fn-	ἄδικος	^3	
ἄδικος	a-s---mn-	ἄδικος	^3	
ἁδύπολις	a-s---mn-	ἁδύπολις	^3	
ἀδύνατος	a-s---fn-	ἀδύνατος	^1^3^5	
ἄζυγος	n-s---fg-	ἄζυξ	^3	
ἀθυμία	n-s---fn-	ἀθυμία	_3	
ἀθυρόστομος	a-s---fn-	ἀθυρόστομος	^3	
ἀθυρόγλωσσος	a-s---mn-	ἀθυρόγλωσσος	^3	
ἄθυμος	a-s---mn-	ἄθυμος	_3	
Αἴας	n-s---mn-	Αἴας	_3	
Αἴας	n-s---mn-	αἴας	_3	
Αἴας	n-s---mv-	αἴας	_3	
Αἴας	n-s---mv-	Αἴας	_3	
Αἴγινα	n-s---fn-	αἴγινα	_4	
αἰνόγαμος	a-s---fn-	αἰνόγαμος	^6	
αἰσχύνη	n-s---fn-	αἰσχύνη	_5	
αἰχμάλωτος	a-s---fn-	αἰχμάλωτος	^5	
αἰχμάλωτος	a-s---mn-	αἰχμάλωτος	^5	
ἀκήρατος	a-s---mn-	ἀκήρατος	^5	
ἀκόλαστος	a-s---mn-	ἀκόλαστος	^5	
ἄκος	n-s---nn-	ἄκος	^1	
ἄκος	n-s---na-	ἄκος	^1	
ἄκρατος	a-s---mn-	ἄκρατος	_4	
ἀκρατής	a-s---fg-	ἀκρατής	^1^4	
ἀκριτόφυρτος	a-s---fn-	ἀκριτόφυρτος	^4	
ἄκριτος	a-s---mn-	ἄκριτος	^4	
ἀκροθίνιον	a-s---na-	ἀκροθίνιος	_6	
ἀκύμων	a-s---mn-	ἀκύμων	_3	
ἀκύμων	a-p---mg-	ἀκύμων	_3	
ἀλάστορος	n-s---mg-	ἀλάστωρ	^3	
ἀλάστωρ	n-s---mn-	ἀλάστωρ	^1^3	
ἀλέκτωρ	n-s---mn-	ἀλέκτωρ	^1	
ἅλιος	d--------	ἅλιος	_1^3	
ἅλις	d--------	ἅλις	^3	
ἄλκαρ	n-s---mn-	ἄλκαρ	^4	
ἄλκαρ	n-s---nn-	ἄλκαρ	^4	
ἄλκιμος	a-s---mn-	ἄλκιμος	^4	
ἄλυπος	a-s---mn-	ἄλυπος	_3	
ἄλυρος	a-s---mn-	ἄλυρος	^3	
ἁλώσιμος	a-s---fn-	ἁλώσιμος	^5	
ἅμα	u--------	ἅμα	^3	
ἅμα	r--------	ἅμα	^3	
ἅμα	d--------	ἅμα	^3	
ἀμαθία	n-s---fd-	ἀμαθίον	^3	
ἁμαρτάνω	v1spia---	ἁμαρτάνω	^1^3^6	
ἀμαρτύρητος	a-s---mn-	ἀμαρτύρητος	^6	
ἄμαχος	a-s---mn-	ἄμαχος	^3	
ἄμαχος	a-s---fn-	ἄμαχος	^3	
ἀμήχανος	a-s---mn-	ἀμήχανος	^5	
ἀμήχανος	a-s---fn-	ἀμήχανος	^5	
ἀναμπλάκητος	a-s---mn-	ἀναμπλάκητος	^7	
ἄναξ	n-s---mn-	ἄναξ	^1	
ἄναξ	u--------	ἄναξ	^1	
ἄναξ	n-s---mv-	ἄναξ	^1	
ἀνάριθμος	a-s---fn-	ἀνάριθμος	^3	
ἄνασσα	n-s---fv-	ἄνασσα	^1^6	
ἄνασσα	u--------	ἄνασσα	^1^6	
ἄνασσα	n-s---fn-	ἄνασσα	^1^6	
ἀνάστασις	n-s---fn-	ἀνάστασις	^6	
ἀνάστατος	a-s---mn-	ἀνάστατος	^6	
ἄνατος	a-s---fn-	ἄνατος	_3	
ἄνατος	a-s---mn-	ἄνατος	_3	
ἄνεμος	n-s---mn-	ἄνεμος	^1	
ἀνήρ	n-s---mn-	ἀνήρ	^1	
ἀνήρ	u--------	ἀνήρ	^1	
ἀνίερος	a-s---fn-	ἀνίερος	^3	
ἀνόμματος	a-s---mg-	ἀνόμματος	^6	
ἀντάλλαγμα	n-s---nn-	ἀντάλλαγμα	^7	
ἀνταμείβομαι	v1spie---	ἀνταμείβω	^4	
ἀντίδικος	a-s---mn-	ἀντίδικος	^6	
ἄντικρυς	d--------	ἄντικρυς	^4^7	
ἀντίπαλος	a-s---mn-	ἀντίπαλος	^6	
ἀνυμέναιος	a-s---mn-	ἀνυμέναιος	^3	
ἄνυσις	n-s---fn-	ἄνυσις	^3	
ἄνωθεν	d--------	ἄνωθεν	^1	
ἄνωθεν	r--------	ἄνωθεν	^1	
ἀνώνυμος	a-s---mn-	ἀνώνυμος	^5	
ἀνώνυμος	a-s---fn-	ἀνώνυμος	^5	
ἄπαγε	v2spma---	ἀπάγω	^3	
ἀπαλέξαι	v2sasm---	ἀπαλέγω	^3	
ἀπαλλαγή	u--------	ἀπαλλαγή	^6	
ἀπαλλαγή	n-s---fn-	ἀπαλλαγή	^6	
ἁπανταχοῦ	d--------	ἁπανταχοῦ	^6	
ἅπας	a-s---mn-	ἅπας	_3	
ἀπέδιλος	v-sppamn-	ἀπέδιλοω	_5	
ἄπειρος	a-s---fn-	ἄπειρος	^1	
ἄπειρος	a-s---mn-	ἄπειρος	^1	
ἀπείρων	a-s---mn-	ἀπείρων	^1	
ἀπέρατος	a-s---mn-	ἀπέρατος	_5	
ἀπήνη	v3saip---	ἀπήνη	^1	
ἀπήνη	n-s---fn-	ἀπήνη	^1	
ἄπλατος	a-s---fn-	ἄπλατος	_4	
ἄποινα	u--------	ἄποινα	^1	
ἄποινα	n-p---na-	ἄποινα	^1	
ἀποτίβατος	a-s---fn-	ἀπρόσβατος	^7	
ἀπροφάσιστος	a-s---mn-	ἀπροφάσιστος	^6	
ἄπυρος	a-s---mn-	ἄπυρος	^3	
ἄρα	d--------	ἄρα	^3	
ἄρα	u--------	ἄρα	^3	
ἄρα	g--------	ἄρα	^3	
ἄρα	g--------	ἆρα	^3	
ἄρα	d--------	ἆρα	^3	
ἀραρότως	d--------	ἀραρότως	_3	
ἀραρότως	d--------	ἀραρότος	_3	
Ἀργαδῆς	n-s---mn-	Ἀργαδῆς	^4	
ἀρβύλη	n-s---fn-	ἀρβύλη	^4	
Ἄργος	n-s---nv-	ἄργος	^1	
Ἄργος	n-s---na-	ἄργος	^1	
Ἄργος	n-s---nn-	ἄργος	^1	
ἀργός	n-s---nn-	ἀργός	^1	
Ἄργος	u--------	Ἄργος	^1	
ἄργυρος	n-s---mn-	ἄργυρος	^4	
ἄρδην	d--------	ἄρδην	_1	
ἄρηξις	n-s---fn-	ἄρηξις	^1	
ἀριθμός	n-s---mn-	ἀριθμός	^1^3	
ἀριθμὸς	n-s---mn-	ἀριθμός	^1^3	
ἄρκυς	n-s---fn-	ἄρκυς	^4	
ἄρνυμαι	v1spie---	ἄρνυμαι	^4	
ἄρα	n-s---fg-	ἄρος	^3	
ἄρα	n-s---fn-	ἄρος	^3	
ἀρτίκολλος	a-s---mn-	ἀρτίκολλος	_4	
ἀρτίπους	n-s---mn-	ἀρτίπους	^4	
ἀρτίφρων	a-s---mn-	ἀρτίφρων	^4	
ἀρωγός	a-s---mn-	ἀρωγός	^1	
ἄσιτος	a-s---mn-	ἄσιτος	_3	
ἄσιτος	a-s---fn-	ἄσιτος	_3	
ἀσπιδηφόρος	a-s---mn-	ἀσπιδηφόρος	^4	
ἀσπιδοῦχος	a-s---mn-	ἀσπιδοῦχος	^4	
ἀστήρ	n-s---mn-	ἀστήρ	^1	
ἄστυ	n-s---nn-	ἄστυ	^4	
ἄστυ	n-s---nv-	ἄστυ	^4	
ἄστυ	n-s---na-	ἄστυ	^4	
ἄσυλος	a-s---mn-	ἄσυλος	_3	
ἀσφάλεια	n-s---fd-	ἀσφάλεια	^1^4^8	
ἄταφος	a-s---fn-	ἄταφος	^3	
ἄταφος	a-s---mn-	ἄταφος	^3	
ἄτερ	r--------	ἄτερ	^1	
ἄτερ	u--------	ἄτερ	^1	
ἅτερος	a-s---mn-	ἅτερος	^1	
ἀτίετος	a-s---mn-	ἀτίετος	^3	
ἄτιμος	a-s---mn-	ἄτιμος	_3	
ἄτιμος	a-s---fn-	ἄτιμος	_3	
ἀτρέμα	d--------	ἀτρέμας	^6	
αὐτανέψιος	a-s---mn-	αὐτανέψιος	^4	
αὐτίκα	d--------	αὐτίκα	^4^6	
αὐτόμαρτυς	a-s---mn-	αὐτόμαρτυς	^9	
αὐτόσσυτος	a-s---mn-	αὐτόσσυτος	^7	
ἄφαρ	d--------	ἄφαρ	^1^3	
ἀφασία	n-s---fd-	ἀφασία	^3	
ἀφασία	n-s---fn-	ἀφασία	^3	
ἄφατος	n-s---mn-	ἄφας	^3	
ἄφιλος	a-s---fn-	ἄφιλος	^3	
ἄφιλος	a-s---mn-	ἄφιλος	^3	
Ἀφροδίτη	n-s---fn-	ἀφροδίτη	_6	
ἄχαρις	a-s---mn-	ἄχαρις	^3	
ἀχάριστος	a-s---mn-	ἀχάριστος	^3	
ἄχος	n-s---nn-	ἄχος	^1	
ἄχος	n-s---na-	ἄχος	^1	
βάθος	u--------	βάθος	^2	
βάθος	n-s---na-	βάθος	^2	
βαθύς	a-s---mn-	βαθύς	^2^4	
βάλλω	v1spia---	βάλλω	^2	
βάρβαρος	a-s---fn-	βάρβαρος	^5	
βάρβαρος	a-s---mn-	βάρβαρος	^5	
βάρος	n-s---na-	βάρος	^2	
βάρος	n-s---nn-	βάρος	^2	
βάρος	u--------	βάρος	^2	
βαρύκοτος	a-s---fn-	βαρύκοτος	^2^4	
βαρυδότειρα	a-s---fn-	βαρυδότειρος	^2^4	
βαρύδικος	a-s---fn-	βαρύδικος	^6	
βαρυδότειρα	a-s---fn-	βαρυδότειρα	^2^4	
βαρύς	a-s---mn-	βαρύς	^2^4	
βαρύς	u--------	βαρύς	^2^4	
βασιλεία	n-s---fn-	βασιλεία	^2_8	
βασίλεια	n-s---fv-	βασίλεια	^2^8	
