ἀνδρῶνας	n-p---ma-	ἀνδρών	^7	wiktionary
ἀνδρῶν	u--------	ἀνδρῶν	^1	wiktionary
ἀνέσχε	v3saia---	ἀνέ	^1	hypotactic
ἀνεβόησε	v3saia---	ἀνεβεόω		
ἀνέβλεφ’	v2paia---	ἀνέβλεφ		
ἀνεβόα	v3siia---	ἀνεβόας	_6	wiktionary
ἀνεβόησεν	v3saia---	ἀνεβόησεν		
ἀνεγειρόμενος	v-sppemn-	ἀνεγείρω		
ἀνεγνώσθημεν	v1paip---	ἀνεγνώσθημεν		
ἀνέδην	d--------	ἀνέδην		
ἀνέξῃ	v2sasm---	ἀνέζω		
ἀνειλείθυιαν	n-s---fa-	ἀνειλείθυιαν	^11	breve_ultima
ἀνείλετ’	v3saim---	ἀνείλετ		
ἀνειλόμην	v1saim---	ἀνειλόμην		
ἀνείλοντ’	v3piie---	ἀνείλοντ		
ἀνειμένοις	v-prpemd-	ἀνειμένοις		
ἀνειμένον	v-srpena-	ἀνειμένον		
ἀνειμένος	v-srpemn-	ἀνειμένος		
ἀνῇ	v3spsa---	ἄνειμι	^1	hypotactic
ἄνειμι	v1spia---	ἄνειμί	^1^6	hypotactic
ἀνεῖπε	v3saia---	ἀνεῖπον		
ἀνεῖπον	v1saia---	ἀνεῖπον	^1	wiktionary
ἀνείς	v2sfia---	ἀνείς		
ἀνεῖσα	v1saia---	ἀνεῖσα	^1^6	hypotactic
ἀνεῖσαν	v3paia---	ἀνεῖσαν	^6	breve_ultima
ἀνεῖτε	v2paia---	ἀνεῖτε		
ἀνέκαθεν	d--------	ἀνέκαθεν		
ἀνεκάλυψας	v2saia---	ἀνεκάλυψας	^9	breve_ultima
ἀνέκλαγον	v3paia---	ἀνέκλαγον	^6	wiktionary
ἀνεκτέα	a-p---nn-	ἀνεκτέος		
ἀνεκτά	a-p---na-	ἀνεκτός		
ἀνεκτά	a-p---na-	ἀνεκτός		
ἀνεκτὰ	a-p---na-	ἀνεκτός	^1^6	hypotactic
ἀνεκτόν	a-s---nn-	ἀνεκτός		
ἀνεκτόν	a-s---nn-	ἀνεκτός		
ἀνεκτὸν	a-s---nn-	ἀνεκτός	^1	hypotactic
ἀνεκτόν	a-s---na-	ἀνεκτὸς		
ἀνεκτὸν	a-s---na-	ἀνεκτὸς	^1	hypotactic
ἀνελέγχομαι	v1spie---	ἀνελέγχω		
ἀνελεύθερον	a-s---ma-	ἀνελεύθερος		
ἀνελεύθερον	a-s---fa-	ἀνελεύθερος		
ἄνελθε	v2sama---	ἄνελθε		
ἄνελθε	v2sama---	ἄνελθέ		
ἀνελληνόστολον	a-s---ma-	ἀνελληνόστολος		
ἄνελπις	d--------	ἄνελπις	^6	breve_ultima
ἀνελπίστοις	a-p---fd-	ἀνελπίστοις		
ἀνέλπιστον	a-s---ma-	ἀνέλπιστος		
ἀνέλπιστον	a-s---na-	ἀνέλπιστος		
ἀνέλπιστον	a-s---fa-	ἀνέλπιστος		
ἀνέλπιστος	a-s---mn-	ἀνέλπιστος		
ἀνελπίστων	a-p---mg-	ἀνελπίστων		
ἀνεμετρησάμην	v1saim---	ἀνεμετρησάμην		
ἀνέμνησας	v2saia---	ἀνέμνησάς	^1^8	wiktionary
ἀνέμνησεν	v3saia---	ἀνέμνησεν		
ἀνεμόεν	a-s---na-	ἀνεμόεις		
ἀνεμόεντι	a-s---md-	ἀνεμόεις	^9	breve_ultima
ἀνέμοις	n-p---md-	ἄνεμος	^1	wiktionary
ἄνεμον	n-s---ma-	ἄνεμος	^1	wiktionary
ἄνεμος	n-s---mn-	ἄνεμος	^1	wiktionary
ἀνέμων	n-p---mg-	ἄνεμος	^1	wiktionary
ἀνεμώκεος	a-s---mg-	ἀνεμώκης		
ἀνέμων	u--------	ἀνέμων	^1	wiktionary
ἀνέξεται	v3sfim---	ἀνέξεται		
ἀνέξηι	v2sfim---	ἀνέξηι		
ἀνέξηι	v3saoa---	ἀνέξηι		
ἀνέξομαι	v1sfim---	ἀνέξομαι	^1	hypotactic
ἀνέορτος	a-s---mn-	ἀνέορτος		
ἀνέπηλ’	v3saia---	ἀνέπηλ		
ἀνεπίπληκτον	a-s---ma-	ἀνεπίπληκτος		
ἀνεπίφθονον	a-s---na-	ἀνεπίφθονος		
ἀνεπτάμαν	v1saia---	ἀνεπτάμαν		
ἀνεπτέρωκε	v3sria---	ἀνεπτέρωκε		
ἀνεπτέρωσα	v1saia---	ἀνεπτέρωσα	^10	breve_ultima
ἀνεπτερώθης	v2saip---	ἀνεπτορώω		
ἀνεπτύχθαι	v--rne---	ἀνεπτύχθαι		
ἄνεργ’	a-p---na-	ἄνεργ		
ἀνερμήνευτα	a-p---na-	ἀνερμήνευτος	^11	breve_ultima
ἀνερέσθαι	v--anm---	ἀνέρομαι		
ἀνέρῃ	v3spsa---	ἀνέρομαι		
ἀνελθεῖν	v--ana---	ἀνέρχομαι		
ἀνελθών	v-sapamn-	ἀνέρχομαι		
ἀνελθὼν	v-sapamn-	ἀνέρχομαι	^1	hypotactic
ἀνῆλθε	v3saia---	ἀνέρχομαι		
ἀνεσκευάσμεθ’	v1paim---	ἀνεσκευάσμεθ		
ἀνεσπάρασσον	v3piia---	ἀνεσπάρασσον		
ἀνέσταἐξ	v1sria---	ἀνέσταἐξ		
ἀνεστείλανθ’	v3paim---	ἀνεστείλανθ		
ἀνέστεμμαι	v1srie---	ἀνέστεμμαι		
ἀνεστέναξε	v3saia---	ἀνεστέναξε		
ἀνέστενεν	v3siia---	ἀνέστενεν	^1	hypotactic
ἀνέστησας	v2saia---	ἀνέστησον	^1^8	wiktionary
ἀνέστραπται	v3srie---	ἀνέστραπται		
ἀνεστρέφου	v2siie---	ἀνεστρέφου		
ἀνέσχου	v2saim---	ἀνέσχου		
ἀνετίναξ’	v3saia---	ἀνετίναξ		
ἀνέτλατ’	v3saim---	ἀνέτλατ		
ἄνευ	r--------	ἄνευ	^1	wiktionary
ἀνεύρεσιν	n-p---fd-	ἀνεύρεσιν	^8	breve_ultima
ἀνευρήσει	v3sfia---	ἀνευρέω		
ἀνευρεῖν	v--ana---	ἀνευρίσκω		
