ἀνδρῶνας	n-p---ma-	ἀνδρών	^7	wiktionary
ἀνδρῶν	u--------	ἀνδρῶν	^1	wiktionary
ἀν&έσχε	v3saia---	ἀνέ	^1	hypotactic
ἀν&εβόησε	v3saia---	ἀνεβεόω		
ἀν&έβλεφ’	v2paia---	ἀνέβλεφ		
ἀν&εβόα	v3siia---	ἀνεβόας	_6	wiktionary
ἀν&εβόησεν	v3saia---	ἀνεβόησεν		
ἀν&εγειρόμενος	v-sppemn-	ἀνεγείρω		
ἀν&εγνώσθημεν	v1paip---	ἀνεγνώσθημεν		
ἀν&έδην	d--------	ἀνέδην		
ἀν&έξῃ	v2sasm---	ἀνέζω		
ἀν&ειλείθυιαν	n-s---fa-	ἀνειλείθυιαν	^11	breve_ultima
ἀν&είλετ’	v3saim---	ἀνείλετ		
ἀν&ειλόμην	v1saim---	ἀνειλόμην		
ἀν&είλοντ’	v3piie---	ἀνείλοντ		
ἀν&ειμένοις	v-prpemd-	ἀνειμένοις		
ἀν&ειμένον	v-srpena-	ἀνειμένον		
ἀν&ειμένος	v-srpemn-	ἀνειμένος		
ἀν&ῇ	v3spsa---	ἄνειμι	^1	hypotactic
ἄν&ειμι	v1spia---	ἄνειμί	^1^6	hypotactic
ἀν&εῖπε	v3saia---	ἀνεῖπον		
ἀν&εῖπον	v1saia---	ἀνεῖπον	^1	wiktionary
ἀν&είς	v2sfia---	ἀνείς		
ἀν&εῖσα	v1saia---	ἀνεῖσα	^1^6	hypotactic
ἀν&εῖσαν	v3paia---	ἀνεῖσαν	^6	breve_ultima
ἀν&εῖτε	v2paia---	ἀνεῖτε		
ἀν&έκαθεν	d--------	ἀνέκαθεν		
ἀν&εκάλυψας	v2saia---	ἀνεκάλυψας	^9	breve_ultima
ἀν&έκλαγον	v3paia---	ἀνέκλαγον	^6	wiktionary
ἀν&εκτέα	a-p---nn-	ἀνεκτέος		
ἀν&εκτά	a-p---na-	ἀνεκτός		
ἀν&εκτά	a-p---na-	ἀνεκτός		
ἀν&εκτὰ	a-p---na-	ἀνεκτός	^1^6	hypotactic
ἀν&εκτόν	a-s---nn-	ἀνεκτός		
ἀν&εκτόν	a-s---nn-	ἀνεκτός		
ἀν&εκτὸν	a-s---nn-	ἀνεκτός	^1	hypotactic
ἀν&εκτόν	a-s---na-	ἀνεκτὸς		
ἀν&εκτὸν	a-s---na-	ἀνεκτὸς	^1	hypotactic
ἀν&ελέγχομαι	v1spie---	ἀνελέγχω		
ἀν&ελεύθερον	a-s---ma-	ἀνελεύθερος		
ἀν&ελεύθερον	a-s---fa-	ἀνελεύθερος		
ἄν&ελθε	v2sama---	ἄνελθε		
ἄν&ελθε	v2sama---	ἄνελθέ		
ἀν&ελληνόστολον	a-s---ma-	ἀνελληνόστολος		
ἄν&ελπις	d--------	ἄνελπις	^6	breve_ultima
ἀν&ελπίστοις	a-p---fd-	ἀνελπίστοις		
ἀν&έλπιστον	a-s---ma-	ἀνέλπιστος		
ἀν&έλπιστον	a-s---na-	ἀνέλπιστος		
ἀν&έλπιστον	a-s---fa-	ἀνέλπιστος		
ἀν&έλπιστος	a-s---mn-	ἀνέλπιστος		
ἀν&ελπίστων	a-p---mg-	ἀνελπίστων		
ἀν&εμετρησάμην	v1saim---	ἀνεμετρησάμην		
ἀν&έμνησας	v2saia---	ἀνέμνησάς	^1^8	wiktionary
ἀν&έμνησεν	v3saia---	ἀνέμνησεν		
ἀνεμόεν	a-s---na-	ἀνεμόεις		
ἀνεμόεντι	a-s---md-	ἀνεμόεις	^9	breve_ultima
ἀνέμοις	n-p---md-	ἄνεμος	^1	wiktionary
ἄνεμον	n-s---ma-	ἄνεμος	^1	wiktionary
ἄνεμος	n-s---mn-	ἄνεμος	^1	wiktionary
ἀνέμων	n-p---mg-	ἄνεμος	^1	wiktionary
ἀνεμώκεος	a-s---mg-	ἀνεμώκης		
ἀνέμων	u--------	ἀνέμων	^1	wiktionary
ἀν&έξεται	v3sfim---	ἀνέξεται		
ἀν&έξηι	v2sfim---	ἀνέξηι		
ἀν&έξηι	v3saoa---	ἀνέξηι		
ἀν&έξομαι	v1sfim---	ἀνέξομαι	^1	hypotactic
ἀν&έορτος	a-s---mn-	ἀνέορτος		
ἀν&έπηλ’	v3saia---	ἀνέπηλ		
ἀν&επίπληκτον	a-s---ma-	ἀνεπίπληκτος		
ἀν&επίφθονον	a-s---na-	ἀνεπίφθονος		
ἀν&επτάμαν	v1saia---	ἀνεπτάμαν		
ἀν&επτέρωκε	v3sria---	ἀνεπτέρωκε		
ἀν&επτέρωσα	v1saia---	ἀνεπτέρωσα	^10	breve_ultima
ἀν&επτερώθης	v2saip---	ἀνεπτορώω		
ἀν&επτύχθαι	v--rne---	ἀνεπτύχθαι		
ἄν&εργ’	a-p---na-	ἄνεργ		
ἀν&ερμήνευτα	a-p---na-	ἀνερμήνευτος	^11	breve_ultima
ἀν&ερέσθαι	v--anm---	ἀνέρομαι		
ἀν&έρῃ	v3spsa---	ἀνέρομαι		
ἀν&ελθεῖν	v--ana---	ἀνέρχομαι		
ἀν&ελθών	v-sapamn-	ἀνέρχομαι		
ἀν&ελθὼν	v-sapamn-	ἀνέρχομαι	^1	hypotactic
ἀν&ῆλθε	v3saia---	ἀνέρχομαι		
ἀν&εσκευάσμεθ’	v1paim---	ἀνεσκευάσμεθ		
ἀν&εσπάρασσον	v3piia---	ἀνεσπάρασσον		
ἀν&έσταἐξ	v1sria---	ἀνέσταἐξ		
ἀν&εστείλανθ’	v3paim---	ἀνεστείλανθ		
ἀν&έστεμμαι	v1srie---	ἀνέστεμμαι		
ἀν&εστέναξε	v3saia---	ἀνεστέναξε		
ἀν&έστενεν	v3siia---	ἀνέστενεν	^1	hypotactic
ἀν&έστησας	v2saia---	ἀνέστησον	^1^8	wiktionary
ἀν&έστραπται	v3srie---	ἀνέστραπται		
ἀν&εστρέφου	v2siie---	ἀνεστρέφου		
ἀν&έσχου	v2saim---	ἀνέσχου		
ἀν&ετίναξ’	v3saia---	ἀνετίναξ		
ἀν&έτλατ’	v3saim---	ἀνέτλατ		
ἄνευ	r--------	ἄνευ	^1	wiktionary
ἀν&εύρεσιν	n-p---fd-	ἀνεύρεσιν	^8	breve_ultima
ἀν&ευρήσει	v3sfia---	ἀνευρέω		
ἀν&ευρεῖν	v--ana---	ἀνευρίσκω		
